
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC2043/PR1/01,120,15.10.2018 13:00:00,200
CSC2043/PR1/01,120,22.10.2018 13:00:00,200
CSC2043/PR1/01,120,29.10.2018 13:00:00,200
CSC2043/PR1/01,120,05.11.2018 13:00:00,200
CSC2043/PR1/01,120,12.11.2018 13:00:00,200
CSC2043/PR1/01,120,19.11.2018 13:00:00,200
CSC2043/PR1/01,120,26.11.2018 13:00:00,200
CSC2043/PR1/01,120,03.12.2018 13:00:00,200
CSC2043/PR1/01,120,10.12.2018 13:00:00,200
CSC2043/PR2/01,120,14.01.2019 13:00:00,200
CSC2043/PR2/01,120,21.01.2019 13:00:00,200
CSC2043/PR2/01,120,28.01.2019 13:00:00,200
CSC2043/PR2/01,120,04.02.2019 13:00:00,200
CSC2043/PR2/01,120,11.02.2019 13:00:00,200
CSC2043/PR2/01,120,18.02.2019 13:00:00,200
CSC2043/PR2/01,120,25.02.2019 13:00:00,200
CSC2043/PR2/01,120,04.03.2019 13:00:00,200
CSC2043/PR2/01,120,11.03.2019 13:00:00,200
CSC2043/PR2/01,120,18.03.2019 13:00:00,200
CSC2043/PR2/01,120,25.03.2019 13:00:00,200
CSC2043/PR2/01,120,01.04.2019 13:00:00,200
CSC2044/AD1/01,120,02.10.2018 15:00:00,125
CSC2044/AD1/01,120,09.10.2018 15:00:00,125
CSC2044/AD1/01,120,16.10.2018 15:00:00,125
CSC2044/AD1/01,120,23.10.2018 15:00:00,125
CSC2044/AD1/01,120,30.10.2018 15:00:00,125
CSC2044/AD1/01,120,06.11.2018 15:00:00,125
CSC2044/AD1/01,120,13.11.2018 15:00:00,125
CSC2044/AD1/01,120,20.11.2018 15:00:00,125
CSC2044/AD1/01,120,27.11.2018 15:00:00,125
CSC2044/AD1/01,120,04.12.2018 15:00:00,125
CSC2044/AD1/01,120,11.12.2018 15:00:00,125
CSC2045/AD1/01,120,01.10.2018 11:00:00,200
CSC2045/AD1/01,120,08.10.2018 11:00:00,200
CSC2045/AD1/01,120,15.10.2018 11:00:00,200
CSC2045/AD1/01,120,22.10.2018 11:00:00,200
CSC2045/AD1/01,120,29.10.2018 11:00:00,200
CSC2045/AD1/01,120,05.11.2018 11:00:00,200
CSC2045/AD1/01,120,12.11.2018 11:00:00,200
CSC2045/AD1/01,120,19.11.2018 11:00:00,200
CSC2045/AD1/01,120,26.11.2018 11:00:00,200
CSC2045/AD1/01,120,03.12.2018 11:00:00,200
CSC2045/AD4/01,120,18.01.2019 09:00:00,200
CSC2045/AD4/01,120,25.01.2019 09:00:00,200
CSC2045/AD4/01,120,01.02.2019 09:00:00,200
CSC2045/AD4/01,120,08.02.2019 09:00:00,200
CSC2045/AD4/01,120,15.02.2019 09:00:00,200
CSC2045/AD4/01,120,22.02.2019 09:00:00,200
CSC2045/AD4/01,120,01.03.2019 09:00:00,200
CSC2045/AD4/01,120,08.03.2019 09:00:00,200
CSC2045/AD4/01,120,15.03.2019 09:00:00,200
CSC2045/AD4/01,120,22.03.2019 09:00:00,200
CSC2045/AD4/01,120,29.03.2019 09:00:00,200
